,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
284,04/26/21,738.20,31038500,8.8,1.21,1.21,738.20,471.96,741.00,749.30,732.61,471.96,2021-04-26,2021.317808219178,1.21
285,04/27/21,704.74,29437000,-33.46,-4.53,-4.53,704.74,446.03,717.96,724.00,703.35,446.03,2021-04-27,2021.3205479452056,-4.53
286,04/28/21,694.40,22271050,-10.34,-1.47,-1.47,694.40,438.02,696.41,708.50,693.60,438.02,2021-04-28,2021.323287671233,-1.47
287,04/29/21,677.00,28845450,-17.4,-2.51,-2.51,677.00,424.54,699.51,702.25,668.50,424.54,2021-04-29,2021.3260273972603,-2.51
288,04/30/21,709.44,40758720,32.44,4.79,4.79,709.44,449.67,667.59,715.47,666.14,449.67,2021-04-30,2021.3287671232877,4.79
289,05/03/21,684.90,27043140,-24.54,-3.46,-3.46,684.90,430.66,703.80,706.00,680.50,430.66,2021-05-03,2021.33698630137,-3.46
290,05/04/21,673.60,29739320,-11.3,-1.65,-1.65,673.60,421.9,678.94,683.45,657.70,421.9,2021-05-04,2021.3397260273973,-1.65
291,05/05/21,670.94,21901890,-2.66,-0.39,-0.39,670.94,419.84,681.06,685.30,667.34,419.84,2021-05-05,2021.3424657534247,-0.39
292,05/06/21,663.54,27784620,-7.4,-1.1,-1.1,663.54,414.11,680.76,681.02,650.00,414.11,2021-05-06,2021.345205479452,-1.1
293,05/07/21,672.37,23469170,8.83,1.33,1.33,672.37,420.95,665.80,690.00,660.22,420.95,2021-05-07,2021.3479452054794,1.33
294,05/10/21,629.04,31392420,-43.33,-6.44,-6.44,629.04,387.38,664.90,665.05,627.61,387.38,2021-05-10,2021.3561643835617,-6.44
295,05/11/21,617.20,46503900,-11.84,-1.88,-1.88,617.20,378.2,599.24,627.10,595.60,378.2,2021-05-11,2021.358904109589,-1.88
296,05/12/21,589.89,33823650,-27.31,-4.42,-4.42,589.89,357.05,602.49,620.41,586.77,357.05,2021-05-12,2021.3616438356164,-4.42
297,05/13/21,571.69,44184920,-18.2,-3.09,-3.09,571.69,342.94,601.55,606.46,559.65,342.94,2021-05-13,2021.3643835616438,-3.09
298,05/14/21,589.74,33370860,18.05,3.16,3.16,589.74,356.93,583.41,592.87,570.46,356.93,2021-05-14,2021.3671232876711,3.16
299,05/17/21,576.83,32247800,-12.91,-2.19,-2.19,576.83,346.93,575.55,589.73,561.20,346.93,2021-05-17,2021.3753424657534,-2.19
300,05/18/21,577.87,36830566,1.04,0.18,0.18,577.87,347.73,568.00,596.25,563.38,347.73,2021-05-18,2021.3780821917808,0.18
301,05/19/21,563.46,39578400,-14.41,-2.49,-2.49,563.46,336.57,552.55,566.21,546.98,336.57,2021-05-19,2021.3808219178081,-2.49
302,05/20/21,586.78,30821120,23.32,4.14,4.14,586.78,354.64,575.00,588.85,571.07,354.64,2021-05-20,2021.3835616438357,4.14
303,05/21/21,580.88,26030600,-5.9,-1.01,-1.01,580.88,350.06,596.11,596.68,580.00,350.06,2021-05-21,2021.386301369863,-1.01
304,05/24/21,606.44,34558090,25.56,4.4,4.4,606.44,369.87,581.60,614.48,573.65,369.87,2021-05-24,2021.3945205479451,4.4
305,05/25/21,604.69,28005930,-1.75,-0.29,-0.29,604.69,368.51,607.31,613.99,595.71,368.51,2021-05-25,2021.3972602739725,-0.29
306,05/26/21,619.13,28639310,14.44,2.39,2.39,619.13,379.7,607.56,626.17,601.50,379.7,2021-05-26,2021.4,2.39
307,05/27/21,630.85,26370590,11.72,1.89,1.89,630.85,388.78,620.24,631.13,616.21,388.78,2021-05-27,2021.4027397260274,1.89
