,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id,price
97,Davis Select Financial ETF,DFNL,1670310,23908L108,BATS,False,ETF,,,,,,,,USD,Arizona; U.S.A,37d65b2399b06c3912fd29f6fe683848,29.66
98,Donoghue Forlines Risk Managed Innovation ETF,DFNV,1604813,89628W500,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,6e7a9f11099847a323fd11c985a28320,25.16
99,Donoghue Forlines Real Assets Enhanced Yield ETF,DFRA,1604813,89628W708,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,aae6ba4ae89b458f949f3746df3dd9bc,27.0093
102,Davis Select International ETF,DINT,1670310,23908L405,BATS,False,ETF,,,,,,,,USD,Arizona; U.S.A,83daaa898e6b50a496ec806b674ef235,17.28
103,iShares US Dividend and Buyback ETF,DIVB,1100663,46435U861,BATS,False,ETF,,,,,,,,USD,California; U.S.A,250435663690778de377328a1b6aa7ad,40.28
104,FT Cboe Vest US Equity Deep Buffer ETF - January,DJAN,1667919,33740F631,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,2d7aac373f9a9027bafe94970c6fe219,31.9
105,FT Cboe Vest US Equity Deep Buffer ETF - July,DJUL,1667919,33740F698,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,38104ab1afb72588121777cb2f55f859,32.589
106,FT Cboe Vest US Equity Deep Buffer ETF - June,DJUN,1667919,33740F714,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,63e39b1b7b1c02f7d5f5c9ef119c3e82,33.5573
108,FT Cboe Vest US Equity Deep Buffer ETF - March,DMAR,1667919,33740F615,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,38b734808621cee1da011affdbaeabff,31.51
109,FT Cboe Vest US Equity Deep Buffer ETF - May,DMAY,1667919,33740F730,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,7812e11e3d08a328fe30a6fd5a76a5fb,33.74
110,FT Cboe Vest US Equity Deep Buffer ETF - November,DNOV,1667919,33740F839,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,0a9d09b5ccb9c6f0fbae01a4f1c144dd,33.67
