,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
471,01/20/22,60.75,23002350,-0.25,-0.41,-0.41,64.81,20.78,61.0,61.44,60.72,13.21,2022-01-20,2022.054794520548,-0.41
472,01/21/22,60.45,26643160,-0.3,-0.49,-0.49,64.49,20.18,61.08,61.3,60.4,12.65,2022-01-21,2022.0575342465756,-0.49
473,01/24/22,59.96,30207460,-0.49,-0.81,-0.81,63.97,19.21,59.9,60.35,58.57,11.74,2022-01-24,2022.0657534246573,-0.81
474,01/25/22,59.82,19027110,-0.14,-0.23,-0.23,63.82,18.93,59.36,60.05,58.69,11.48,2022-01-25,2022.0684931506848,-0.23
475,01/26/22,59.6,19190240,-0.22,-0.37,-0.37,63.58,18.49,59.79,60.35,59.21,11.07,2022-01-26,2022.0712328767124,-0.37
476,01/27/22,59.65,18898680,0.05,0.08,0.08,63.63,18.59,59.88,60.93,59.5,11.16,2022-01-27,2022.07397260274,0.08
477,01/28/22,60.84,19101490,1.19,1.99,1.99,64.9,20.95,59.39,60.89,58.94,13.38,2022-01-28,2022.0767123287671,1.99
478,01/31/22,61.01,22045320,0.17,0.28,0.28,65.09,21.29,60.3,61.14,60.15,13.7,2022-01-31,2022.0849315068488,0.28
479,02/01/22,60.56,20841660,-0.45,-0.74,-0.74,64.61,20.4,60.91,61.14,60.16,12.86,2022-02-01,2022.0849315068488,-0.74
480,02/02/22,61.18,20225580,0.62,1.02,1.02,65.27,21.63,60.62,61.27,60.56,14.01,2022-02-02,2022.0876712328768,1.02
481,02/03/22,61.61,19440490,0.43,0.7,0.7,65.73,22.49,60.94,61.78,60.59,14.82,2022-02-03,2022.090410958904,0.7
482,02/04/22,60.96,17403730,-0.65,-1.06,-1.06,65.03,21.19,61.49,61.68,60.57,13.6,2022-02-04,2022.0931506849315,-1.06
483,02/07/22,61.6,17846410,0.64,1.05,1.05,65.72,22.47,61.38,61.72,60.86,14.8,2022-02-07,2022.1013698630136,1.05
484,02/08/22,62.0,18771750,0.4,0.65,0.65,66.14,23.26,61.83,62.33,61.74,15.54,2022-02-08,2022.1041095890407,0.65
485,02/09/22,61.04,23595560,-0.96,-1.55,-1.55,65.12,21.35,62.17,62.32,60.9,13.75,2022-02-09,2022.1068493150683,-1.55
486,02/10/22,61.38,23561530,0.34,0.56,0.56,65.48,22.03,60.36,62.3,60.2,14.39,2022-02-10,2022.109589041096,0.56
487,02/11/22,60.29,22781390,-1.09,-1.78,-1.78,64.32,19.86,61.77,61.98,60.15,12.36,2022-02-11,2022.1123287671232,-1.78
488,02/14/22,60.68,23641310,0.39,0.65,0.65,64.73,20.64,60.16,60.79,59.28,13.08,2022-02-14,2022.120547945205,0.65
489,02/15/22,60.91,13409340,0.23,0.38,0.38,64.98,21.09,60.96,61.78,60.63,13.51,2022-02-15,2022.123287671233,0.38
490,02/16/22,60.9,15484660,-0.01,-0.02,-0.02,64.97,21.07,60.86,61.4,60.56,13.49,2022-02-16,2022.1260273972605,-0.02
491,02/17/22,62.12,21468720,1.22,2.0,2.0,66.27,23.5,60.55,62.28,60.41,15.77,2022-02-17,2022.128767123288,2.0
492,02/18/22,62.54,21975020,0.42,0.68,0.68,66.72,24.33,62.12,62.82,61.99,16.55,2022-02-18,2022.131506849315,0.68
493,02/22/22,62.28,21731390,-0.26,-0.42,-0.42,66.44,23.82,62.43,62.64,61.72,16.06,2022-02-22,2022.1424657534249,-0.42
494,02/23/22,61.59,19248470,-0.69,-1.11,-1.11,65.7,22.45,62.24,62.33,61.34,14.78,2022-02-23,2022.145205479452,-1.11
495,02/24/22,60.51,27207440,-1.08,-1.75,-1.75,64.55,20.3,59.97,60.62,59.22,12.77,2022-02-24,2022.1479452054796,-1.75
496,02/25/22,62.85,21487800,2.34,3.87,3.87,67.05,24.95,60.94,62.9,60.92,17.13,2022-02-25,2022.150684931507,3.87
497,02/28/22,62.24,25879120,-0.61,-0.97,-0.97,66.4,23.74,61.65,62.34,61.41,15.99,2022-02-28,2022.158904109589,-0.97
498,03/01/22,61.97,15871090,-0.27,-0.43,-0.43,66.11,23.2,62.14,62.75,61.51,15.49,2022-03-01,2022.1671232876715,-0.43
